FID,FID_sweep_,ID,GRIDCODE,FID_Sweepn,FID_1,Id_1,FromBufDst,ToBufDist,FID_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,Distance,F_AREA
0,4,5,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,784.811127351
1,6,7,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,390.450047209
2,11,12,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,657.730420257
3,14,15,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,123.736184424
4,15,16,31,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,58.5439538765
5,22,23,31,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,79.8383030899
6,26,27,31,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,98.62748063
7,40,41,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,2321.46051928
8,83,84,31,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,58.5482900974
9,88,89,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,10836.5292671
10,91,92,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,98.7801129988
11,94,95,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,226.393122825
12,98,99,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,573.882360176
13,107,108,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,9786.11194417
14,108,109,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,729.039204226
15,109,110,122,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,418.752394316
16,110,111,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,756.214055027
17,111,112,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,704.01789975
18,112,113,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,764.156360606
19,113,114,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,425.666361106
20,114,115,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,656.548183201
21,115,116,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,126.765756156
22,116,117,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,13.9483013441
23,117,118,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,284.725660802
24,125,126,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,289.61295503
25,126,127,37,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,31.7070357355
26,127,128,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,361.170845846
27,132,133,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,524.66238243
28,145,146,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1966.29406527
29,146,147,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,267.430003034
30,167,168,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,4399.3152722
31,168,169,23,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,3694.63590585
32,193,194,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,18152.4538518
33,194,195,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,631.174296803
34,195,196,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1157.33474141
35,196,197,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,69.5608605541
36,198,199,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,41.4982673829
37,200,201,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,321.461153645
38,201,202,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,282.014385057
39,205,206,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,40.6940920676
40,208,209,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,305.519934619
41,211,212,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,267.269811198
42,212,213,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,297.744840662
43,213,214,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,132.292597261
44,215,216,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,2453.4043542
45,218,219,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,26.9420082385
46,228,229,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,4035.70831181
47,231,232,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,396.109380609
48,232,233,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,2.11731121479
49,233,234,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,79.3747135016
50,236,237,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,214.277511304
51,241,242,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,133.060007982
52,262,263,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,281.609749595
53,269,270,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,294.339221588
54,270,271,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,409.866370243
55,276,277,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,3.0606729481
56,292,293,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,353.500857828
57,313,314,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,16.9595728187
58,315,316,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,939.510372616
59,327,328,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1889.99057725
60,330,331,122,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,180.8906282
61,331,332,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,447.608597582
62,336,337,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,345.371152465
63,337,338,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,209.60469605
64,349,350,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,286.816552104
65,368,369,61,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,2846.96700257
66,377,378,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,162.451794803
67,381,382,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,406.557878583
68,382,383,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,476.375447268
69,397,398,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,476.887647109
70,410,411,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1013.41456871
71,411,412,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,574.670514103
72,421,422,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,0.353423602658
73,422,423,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,35.9273798003
74,428,429,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,30.3673671061
75,431,432,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,97.3407584875
76,440,441,152,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,292.023289504
77,442,443,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,7512.90447837
78,444,445,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,95.8070453015
79,451,452,52,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,70.0990873544
80,458,459,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,4962.87387811
81,459,460,52,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,98.6167313537
82,460,461,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,333.545602622
83,466,467,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,49.1327170708
84,478,479,23,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,158.217004941
85,480,481,23,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,392.968865883
86,486,487,23,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,433.146700686
87,494,495,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,252.895221938
88,503,504,42,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1.95146139655
89,510,511,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,234.144612132
90,518,519,52,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,595.913024479
91,545,546,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,434.298120809
92,563,564,176,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,241.698022914
93,566,567,23,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,3322.13326497
94,584,585,21,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,3158.13505965
95,592,593,59,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,465.175212142
96,593,594,24,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,1675.74128938
97,595,596,59,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,190.851374549
98,596,597,121,-1,0,0,0.0,0.0,0, ,0.0,0.0,0.0,0.0,0.0,256.312661053
