FID,FID_sweep_,ID,GRIDCODE,FID_Sweep1,FID_Swee_1,distance,FID_Swee_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,F_AREA
0,0,1,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,495.254263486000013
1,1,2,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1763.212087699999984
2,2,3,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,3526.465787069999806
3,3,4,152,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,11806.154325400000744
4,3,4,152,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,14.549269451900001
5,4,5,23,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1.369722175740000
6,4,5,23,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,880.259355221999954
7,5,6,61,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,3562.507830330000161
8,5,6,61,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1727.249159680000048
9,6,7,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.649724996000032
10,7,8,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,2644.937864559999980
11,8,9,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,469.959294634000003
12,9,10,152,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,5852.480409269999654
13,10,11,61,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.655234494999945
14,11,12,31,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,624.105664151000042
15,11,12,31,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,4665.741713069999605
16,12,13,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1402.927948550000110
17,12,13,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,731.576380424000035
18,12,13,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,4918.555036749999999
19,13,14,23,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1763.320034040000110
20,14,15,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,772.291707811000038
21,14,15,31,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,109.368756250999994
22,15,16,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,7105.121968819999893
23,15,16,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,703.463424548000035
24,16,17,31,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,881.656904578999956
25,17,18,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,10070.243154899999354
26,17,18,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1377.111533340000051
27,18,19,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1763.330686779999951
28,19,20,152,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,17738.687001900001633
29,19,20,152,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,8964.745873489999212
30,20,21,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,14.243472207600000
31,20,21,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,2630.767685289999918
32,21,22,31,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1763.329934610000009
33,22,23,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,881.675250237000000
34,23,24,23,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,285.897017974999983
35,23,24,23,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,595.776208706000034
36,24,25,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1763.360912899999903
37,25,26,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,2163.600620069999877
38,25,26,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,3126.399955549999959
39,26,27,61,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,3524.844966889999796
40,26,27,61,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1.833783506470000
41,27,28,31,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.689758775999962
42,28,29,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.685928596000053
43,29,30,23,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1763.389873489999900
44,30,31,31,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,82.841821452000005
45,30,31,31,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,798.853310424000028
46,31,32,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,222.947435132999999
47,31,32,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,658.744210700000053
48,32,33,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,881.705223137999951
49,33,34,24,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.702796230999979
50,34,35,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.713162939999961
51,35,36,61,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,8588.479131320000306
52,36,37,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1551.464753929999915
53,36,37,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,211.994607900000005
54,37,38,61,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.735807665000038
