,ring,Year,SiteID,Winter.Wheat,Lentils,Peas,Barley,Spring.Wheat,Pasture.Grass,Developed.Open.Space,Evergreen.Forests,Dry.Beans,Fallow.Idle.Cropland,Developed.Low.Intensity,Grassland.Herbaceous,Shrubland,Oats,Herbaceous.Wetlands,Sod.Grass.Seed,Alfafa,Deciduous.Forest,Pasture.Hay,Other.Hay.Non.Alfalfa,Developed.Med.Intensity,Apples,Open.Water,Developed.High.Intensity,Triticale,Canola,Sweet.Corn,Potatoes,Asparagus,Corn,Sugar.Beets,Watermelon,Woodly.Wetlands,Grapes,Flaxseed,Herbs,Cherries,Carrots,Other.Crops,Barren,Sunflower,Rapeseed,
1,4000,2011,1,0.405619818,0.007971586,0.014031012,0.033570169,0.31643486,0.037774238,0.020741995,0.001073125,0.118664077,0.036733682,0.005371227,0.001342807,0.000671403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
2,3500,2011,1,0.402419368,0.005209652,0.015628957,0.039214904,0.311518581,0.040150655,0.024837814,0,0.110662822,0.041674492,0.006077928,0.001736551,0.000868275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
3,3000,2011,1,0.402227658,0.007083191,0.01751929,0.048521761,0.296712063,0.043113579,0.031908536,0,0.099138883,0.043822963,0.00641048,0.002361064,0.001180532,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
4,2500,2011,1,0.428411629,0.008500082,0.019705493,0.06290061,0.28183948,0.0477804,0.030253089,0,0.063674407,0.045034693,0.008500082,0.001700016,0.001700016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
5,2000,2011,1,0.446994619,0.01014815,0.013340981,0.078127296,0.304016288,0.037872726,0.028938061,0,0.024942092,0.037891519,0.01241549,0.002656389,0.002656389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
6,1500,2011,1,0.457673492,0.009587503,0.004400834,0.095441651,0.341638837,0.028553643,0.01924954,0,0,0.037811056,0.000920639,0,0.004722805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
7,1000,2011,1,0.323329944,0.01976452,0,0.076672145,0.430381088,0.053139337,0.041058132,0,0,0.045026968,0,0,0.010627867,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
8,500,2011,1,0.050815415,0.042529942,0,0,0.697221178,0.070954758,0.041311552,0,0,0.097167156,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
9,4000,2011,2,0.418830234,0.006043078,0.017018196,0.035275693,0.279116522,0.049996342,0.018511766,#N/A,0.107908079,0.056746519,0.005371625,0.002496133,0.001342906,0.001342906,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
10,3500,2011,2,0.407171001,0.006974818,0.015272432,0.043373431,0.271909284,0.051613787,0.021026943,#N/A,0.103682665,0.067821747,0.006128079,0.002279108,0.001009927,0.001736779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
11,3000,2011,2,0.361859312,0.006530817,0.01518234,0.051194183,0.304864996,0.057206233,0.025288747,#N/A,0.091042312,0.076406155,0.005460408,0.001448389,0.001180687,0.002335421,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
12,2500,2011,2,0.364592276,0.006800958,0.018702634,0.063270479,0.304322068,0.056754713,0.026211283,#N/A,0.067486583,0.088458527,0.001700239,0,0.001700239,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
13,2000,2011,2,0.380627217,0.010626948,0.023376791,0.089571909,0.270063381,0.041568435,0.015482672,#N/A,0.045251033,0.120774877,0,0,0.002656737,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
14,1500,2011,2,0.39363678,0.018071552,0.013316955,0.082202717,0.312623731,0.037244551,0.005630251,#N/A,0.012506804,0.124766659,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
15,1000,2011,2,0.44992666,0.019801801,0.010629261,0.042869914,0.254977713,0.063775569,0.010629261,#N/A,0,0.147389821,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
16,500,2011,2,0.510046648,0,0,0,0.262679056,0.083245382,0,#N/A,0,0.144028914,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
