"site_year","Year","SiteID.x","State","County","Town","Zone","Crop","Date","cdd","cp","cdd2","cp2","Lat","Long","WDn","WLDn","TotDn","WSg","WLSg","Totsg","WRp","WlRp","TotRp","Wsa","Wlsa","TotSa","WMd","WlMd","TotMd","WRm","WlRm","TotRm","WMfc","MlMfc","TotMfc","Wse","WlSe","TotSe","WAm","WlAm","TotAm","Wri","WlRi","TotRi","TotAph.N","Nymph","TotAph","OThers","X","ringfinal","SiteID.y","Spring Wheat","Grass/Pasture/Non-Agricultural","Winter Wheat","Barley","Dry Beans","Peas","Lentils","Developed/Open Space","Shrubland","Grassland Herbaceous","Fallow/Idle Cropland","Developed/Low Intensity","Oats","Herbaceous Wetlands","Sod/Grass Seed","Deciduous Forest","Alfalfa","Pasture/Hay","Other Hay/Non Alfalfa","Developed/Med Intensity","Apples","Evergreen Forest","Developed/High Intensity","Triticale","Canola","Sweet Corn","Potatoes","Asparagus","Corn","Sugarbeets","Onions","Woody Wetlands","Grapes","Carrots","Cherries","Herbs","Flaxseed","Other Crops","Barren","Open Water","Sunflower","Rape Seed","Grassland/Pasture","Camelina","Pumpkins","Safflower","Mustard","Mixed Forest","Clover/Wildflowers","Other Tree Crops","Blueberries","Plums","Rye","Mint"
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,1,4000,"2011_2",0.302747942475379,0.0443035695205202,0.454436641958524,0.0132991886366784,0.130464094301581,0.0214427014488543,0.00322948175812056,0.0121129476832589,0.00294379081752686,0.00273245507246049,0.0120759798537541,0.000211206473341613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,2,3500,"2011_2",0.191899387003253,0.0366640096074575,0.522433494263097,0.0194200923616989,0.152006715047456,0.0118384688811281,0.00886761379857125,0.00940333877869374,0,0.00166285509149476,0.0347858849057822,0.00927551125726892,0.00174262900409911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,3,3000,"2011_2",0.287274124828065,0.0460472438331605,0.384386901731807,0.022045419188313,0.146237414354951,0.0127037791279563,0.0047871928798715,0.0260923020694484,0,0.00574744859430799,0.0427731207376323,0.0161405615615069,0.00576449109298069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,4,2500,"2011_2",0.350612739690324,0.0878685411501274,0.344394517458166,0.018217905132783,0.105776292551435,0.0098032304189942,0,0.0469200779239007,0,0.000479478924914388,0.0311444176208801,0.00478279912847467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,5,2000,"2011_2",0.225121108154345,0.0428194215448528,0.375378634652314,0.0944837467563223,0.0805098069335281,0.0396176717246622,0.0000142929880218711,0.0232193861126654,0.00615185055768861,0,0.1126840805756,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,6,1500,"2011_2",0.354733142157153,0.0188946197574192,0.359704010841126,0.11370976166275,0.0140784874509109,0.0120676887258874,0.0180715827772488,0.00493599405949769,0,0,0.103804712568007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,7,1000,"2011_2",0.253083173919295,0.064340674855164,0.404780925781935,0.0712451982044082,0,0.014389950614162,0.0273547325229879,0.0143899506128311,0,0,0.150415393489217,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,8,500,"2011_2",0.342282393329075,0.0525556209306424,0.473287585937764,0,0,0,0,0,0,0,0.131874399802519,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,9,4000,"2011_3",0.246381785042078,0,0.503110356769622,NA,NA,NA,NA,0.016129521971086,0,NA,0.234378336217214,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,10,3500,"2011_3",0.265240412207411,0,0.465889018495537,NA,NA,NA,NA,0.00666074331910711,0,NA,0.262209825977945,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
