"site_year","Year.x","SiteID.x","State","County","Town","Zone","Crop","Date","cdd","cp","cdd2","cp2","Lat","Long","WDn","WLDn","TotDn","WSg","WLSg","Totsg","WRp","WlRp","TotRp","Wsa","Wlsa","TotSa","WMd","WlMd","TotMd","WRm","WlRm","TotRm","WMfc","MlMfc","TotMfc","Wse","WlSe","TotSe","WAm","WlAm","TotAm","Wri","WlRi","TotRi","TotAph.N","Nymph","TotAph","OThers","ring","Year.y","SiteID.y","variable","value"
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,4000,2011,1,"Winter.Wheat",0.405619818
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3500,2011,1,"Winter.Wheat",0.402419368
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3000,2011,1,"Winter.Wheat",0.402227658
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2500,2011,1,"Winter.Wheat",0.428411629
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2000,2011,1,"Winter.Wheat",0.446994619
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1500,2011,1,"Winter.Wheat",0.457673492
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1000,2011,1,"Winter.Wheat",0.323329944
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,500,2011,1,"Winter.Wheat",0.050815415
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,4000,2011,1,"Lentils",0.007971586
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3500,2011,1,"Lentils",0.005209652
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3000,2011,1,"Lentils",0.007083191
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2500,2011,1,"Lentils",0.008500082
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2000,2011,1,"Lentils",0.01014815
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1500,2011,1,"Lentils",0.009587503
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1000,2011,1,"Lentils",0.01976452
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,500,2011,1,"Lentils",0.042529942
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,4000,2011,1,"Peas",0.014031012
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3500,2011,1,"Peas",0.015628957
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,3000,2011,1,"Peas",0.01751929
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2500,2011,1,"Peas",0.019705493
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,2000,2011,1,"Peas",0.013340981
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1500,2011,1,"Peas",0.004400834
"2011_1",2011,1,"Washington","Whitman","Colfax",3,"SW","7/5/11",427.5,356.8,678.9,354.3,46.79528333,-117.4392,0,0,0,0,0,0,0,0,0,81,6,87,18,2,20,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,224,3,227,1,1000,2011,1,"Peas",0
