site_year,Year,Date,CDD,CP,PrecipZone,ringfinal,Lat,Long,Spring Wheat,Winter Wheat,allwheat,Fallow,AllCereal ,AllGrasslands,AllLegumes,LULCRich,LULCSimD,LULCeven,AphRich,AphSimD,AphAbund,Apheven,TotAph,Mfc,TotAphNoMfc,RelAbundMfc,month,JulianDate,TotDn,Totsg,TotRp,TotSa,TotMd,TotRm,TotMfc,TotSe,TotAm,TotRi
2011_10,2011,6/22/2011,631,351.4,High,500,45.77558333,-118.5432333,0,1,1,0,0,0,0,1,0,0,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,1000,45.77558333,-118.5432333,0,1,1,0,0,0,0,1,0,0,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,1500,45.77558333,-118.5432333,0,0.943342767,0.943342767,0,0,0,0,3,0.107421292,0.213693391,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,2000,45.77558333,-118.5432333,0,0.941007957,0.941007957,0,0,0,0,4,0.112085846,0.185425543,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,2500,45.77558333,-118.5432333,4.34E-05,0.942835679,0.942879105,0.005012949,0.000815253,0.00467016,0.000588671,9,0.109991393,0.135902726,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,3000,45.77558333,-118.5432333,0.010802055,0.597446746,0.608248801,0.047614787,0.104444766,0.039147967,0.0588487,10,0.61715498,0.637249656,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,3500,45.77558333,-118.5432333,0.004287262,0.483641977,0.487929239,0.177795305,0.069315923,0.023331304,0.165809229,13,0.711613658,0.636490233,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_10,2011,6/22/2011,631,351.4,High,4000,45.77558333,-118.5432333,0.010640178,0.524447906,0.535088084,0.113149013,0.027617739,0.01179851,0.248004274,14,0.665433175,0.578204708,4,0.472301136,176,0.664060508,202,present,178,11.88118812,June,173,0,0,13,124,15,0,24,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,500,46.65576667,-116.8083833,0.043543338,0.245946588,0.289489926,0,0,0,0.536320674,5,0.705507065,0.854190458,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,1000,46.65576667,-116.8083833,0.014391609,0.397854346,0.412245955,0,0,0.04317085,0.530607509,6,0.631975343,0.663493809,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,1500,46.65576667,-116.8083833,0,0.412791964,0.412791964,0,0.000592943,0.029429455,0.519383111,8,0.571193407,0.492700656,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,2000,46.65576667,-116.8083833,0.006151992,0.391475104,0.397627096,0.022376689,0.011197615,0.055107558,0.405163094,10,0.741917674,0.70243164,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,2500,46.65576667,-116.8083833,0.006012517,0.413773366,0.419785883,0.052062704,0.000531121,0.070931146,0.288966688,11,0.763091516,0.734182958,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,3000,46.65576667,-116.8083833,0.004314352,0.494207804,0.498522156,0.021418844,0,0.048980082,0.264487899,11,0.6925285,0.647146611,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,3500,46.65576667,-116.8083833,0.024567502,0.375319845,0.399887347,0.015796268,0.001297655,0.080349655,0.248732154,11,0.768278896,0.726713157,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_12,2011,7/7/2011,638.2,485.1,High,4000,46.65576667,-116.8083833,0.070520518,0.25563722,0.326157738,0.003622913,0.001790454,0.128736224,0.238035045,12,0.834219458,0.803093443,2,0.149937526,49,0.407612024,49,present,45,8.163265306,July,188,0,0,0,45,0,0,4,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,500,47.40563333,-117.22035,0,0.912905428,0.912905428,0,0,0,0,2,0.159018215,0.426389296,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,1000,47.40563333,-117.22035,0,0.856288532,0.856288532,0,0.011333302,0.008458738,0.01439026,7,0.25539658,0.28170129,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,1500,47.40563333,-117.22035,0,0.664490716,0.664490716,0,0.180431099,0.058001533,0.008619179,8,0.5183714,0.522872575,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,2000,47.40563333,-117.22035,0.000928668,0.69039423,0.691322898,0,0.234292387,0.040250636,0,7,0.466849445,0.45810739,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,2500,47.40563333,-117.22035,0.014685501,0.648858821,0.663544322,0,0.251927049,0.029650448,0,8,0.513219757,0.487363281,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,3000,47.40563333,-117.22035,0.010921701,0.631724389,0.64264609,0,0.277816561,0.026994779,0,8,0.522123523,0.488879403,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,3500,47.40563333,-117.22035,0.011168473,0.612600789,0.623769262,0.001418156,0.289166423,0.02098388,0,9,0.539105174,0.480223443,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_14,2011,6/30/2011,543.45,360.2,High,4000,47.40563333,-117.22035,0.007867217,0.584427825,0.592295042,0.010710148,0.250819388,0.032510545,0,9,0.588776878,0.55845281,2,0.401234568,18,0.851790895,18,present,13,27.77777778,June,181,0,0,0,13,0,0,5,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,500,46.2487,-117.2612667,0,0.765886437,0.765886437,0,0,0,0,2,0.358608805,0.78454774,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,1000,46.2487,-117.2612667,0.031670131,0.743546076,0.775216207,0.082523266,0,0.073767461,0,7,0.431795741,0.494091939,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
