site_year,Year,SiteID.x,State,County,Town,Zone,Crop,Date,cdd,cp,cdd2,cp2,Lat,Long,WDn,WLDn,TotDn,WSg,WLSg,Totsg,WRp,WlRp,TotRp,Wsa,Wlsa,TotSa,WMd,WlMd,TotMd,WRm,WlRm,TotRm,WMfc,MlMfc,TotMfc,Wse,WlSe,TotSe,WAm,WlAm,TotAm,Wri,WlRi,TotRi,TotAph.N,Nymph,TotAph,OThers,X,ringfinal,SiteID.y,Spring Wheat,Grass/Pasture/Non-Agricultural,Winter Wheat,Barley,Dry Beans,Peas,Lentils,Developed/Open Space,Shrubland,Grassland Herbaceous,Fallow/Idle Cropland,Developed/Low Intensity,Oats,Herbaceous Wetlands,Sod/Grass Seed,Deciduous Forest,Alfalfa,Pasture/Hay,Other Hay/Non Alfalfa,Developed/Med Intensity,Apples,Evergreen Forest,Developed/High Intensity,Triticale,Canola,Sweet Corn,Potatoes,Asparagus,Corn,Sugarbeets,Onions,Woody Wetlands,Grapes,Carrots,Cherries,Herbs,Flaxseed,Other Crops,Barren,Open Water,Sunflower,Rape Seed,Grassland/Pasture,Camelina,Pumpkins,Safflower,Mustard,Mixed Forest,Clover/Wildflowers,Other Tree Crops,Blueberries,Plums,Rye,Mint
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,1,4000,2011_2,0.302747942,0.04430357,0.454436642,0.013299189,0.130464094,0.021442701,0.003229482,0.012112948,0.002943791,0.002732455,0.01207598,0.000211206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,2,3500,2011_2,0.191899387,0.03666401,0.522433494,0.019420092,0.152006715,0.011838469,0.008867614,0.009403339,0,0.001662855,0.034785885,0.009275511,0.001742629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,3,3000,2011_2,0.287274125,0.046047244,0.384386902,0.022045419,0.146237414,0.012703779,0.004787193,0.026092302,0,0.005747449,0.042773121,0.016140562,0.005764491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,4,2500,2011_2,0.35061274,0.087868541,0.344394517,0.018217905,0.105776293,0.00980323,0,0.046920078,0,0.000479479,0.031144418,0.004782799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,5,2000,2011_2,0.225121108,0.042819422,0.375378635,0.094483747,0.080509807,0.039617672,1.4293E-05,0.023219386,0.006151851,0,0.112684081,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,6,1500,2011_2,0.354733142,0.01889462,0.359704011,0.113709762,0.014078487,0.012067689,0.018071583,0.004935994,0,0,0.103804713,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,7,1000,2011_2,0.253083174,0.064340675,0.404780926,0.071245198,0,0.014389951,0.027354733,0.014389951,0,0,0.150415393,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_2,2011,2,Washington,Whitman,Colfax,3,WW,7/5/11,427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,8,500,2011_2,0.342282393,0.052555621,0.473287586,0,0,0,0,0,0,0,0.1318744,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_3,2011,3,Washington,Adams,Ritzville,6,WW,6/17/11,NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,9,4000,2011_3,0.246381785,0,0.503110357,NA,NA,NA,NA,0.016129522,0,NA,0.234378336,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_3,2011,3,Washington,Adams,Ritzville,6,WW,6/17/11,NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,10,3500,2011_3,0.265240412,0,0.465889018,NA,NA,NA,NA,0.006660743,0,NA,0.262209826,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011_3,2011,3,Washington,Adams,Ritzville,6,WW,6/17/11,NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,11,3000,2011_3,0.255857715,0.001542851,0.46528368,NA,NA,NA,NA,0.007509182,0.004023633,NA,0.265782939,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
